# Time   PolyLine_ID   Passnumber   U  V   R G B A

# MIT Coop

0  3006 0  0.63288  0.790064  1  1  1  1 
0  3006 0  0.633078  0.792079  1  1  1  1 
0  3006 0  0.639672  0.791574  1  1  1  1 
0  3006 0  0.639783  0.793936  1  1  1  1 
0  3006 0  0.645708  0.79344  1  1  1  1 
0  3006 0  0.64586  0.795745  1  1  1  1 
0  3006 0  0.657546  0.794457  1  1  1  1 
0  3006 0  0.657497  0.79197  1  1  1  1 
0  3006 0  0.663158  0.791258  1  1  1  1 
0  3006 0  0.662944  0.788564  1  1  1  1 
0  3006 0  0.668498  0.788046  1  1  1  1 
0  3006 0  0.668502  0.7853  1  1  1  1 
0  3006 0  0.673761  0.784773  1  1  1  1 
0  3006 0  0.673738  0.78218  1  1  1  1 
0  3006 0  0.679402  0.781667  1  1  1  1 
0  3006 0  0.677956  0.76525  1  1  1  1 
0  3006 0  0.67089  0.765973  1  1  1  1 
0  3006 0  0.671001  0.768213  1  1  1  1 
0  3006 0  0.665666  0.768869  1  1  1  1 
0  3006 0  0.665686  0.771839  1  1  1  1 
0  3006 0  0.660187  0.77235  1  1  1  1 
0  3006 0  0.660158  0.774845  1  1  1  1 

# Marriott complex triangular building

0  7  0  0.698825  0.6998  1  1  1  1 
0  7  0  0.77835  0.68985  1  1  1  1 
0  7  0  0.781945  0.721582  1  1  1  1 
0  7  0  0.770997  0.72275  1  1  1  1 
0  7  0  0.722526  0.757186  1  1  1  1 
0  7  0  0.706471  0.759247  1  1  1  1 
0  1007  0  0.680987  0.701488  1  1  1  1 
0  1007  0  0.698655  0.699724  1  1  1  1 
0  1007  0  0.705807  0.759776  1  1  1  1 
0  1007  0  0.687788  0.761915  1  1  1  1 

# Street corner building

0  8  0  0.673398  0.617102  1  1  1  1 
0  8  0  0.719291  0.611837  1  1  1  1 
0  8  0  0.724248  0.653983  1  1  1  1 
0  8  0  0.677701  0.660344  1  1  1  1 

# Clock tower building

0  9  0  0.73742  0.616628  1  1  1  1 
0  9  0  0.829169  0.605636  1  1  1  1 
0  9  0  0.833279  0.63885  1  1  1  1 
0  9  0  0.742279  0.651689  1  1  1  1 

0  1009  0  0.782428  0.644491  1  1  1  1
0  1009  0  0.781492  0.635272  1  1  1  1
0  1009  0  0.79081  0.634203  1  1  1  1
0  1009  0  0.791801  0.643408  1  1  1  1

# Tall skyscraper (Eastgate)

0  10  0  0.864923  0.585812  1  1  1  1 
0  10  0  0.868909  0.575512  1  1  1  1 
0  10  0  0.86316  0.57327  1  1  1  1 
0  10  0  0.871369  0.553833  1  1  1  1 
0  10  0  0.900845  0.566  1  1  1  1 
0  10  0  0.892852  0.58566  1  1  1  1 
0  10  0  0.885092  0.582494  1  1  1  1 
