# Time   PolyLine_ID   Passnumber   X Y Z R G B A

# Bldg 8

0  0  0  328274.718674  4692089.93417  3.23618751764  0.956862747669  0.552941203117  0.937254905701  1
0  0  0  328274.830026  4692091.01897  1.35054427385  0.956862747669  0.552941203117  0.937254905701  1
0  0  0  328275.160871  4692093.17197  1.35054427385  0.956862747669  0.552941203117  0.937254905701  1
0  0  0  328275.380364  4692094.24016  3.23618751764  0.956862747669  0.552941203117  0.937254905701  1
0  0  0  328275.269012  4692093.15535  5.12183076143  0.956862747669  0.552941203117  0.937254905701  1
0  0  0  328274.938167  4692091.00236  5.12183076143  0.956862747669  0.552941203117  0.937254905701  1
0  0  0  328274.718674  4692089.93417  3.23618751764  0.956862747669  0.552941203117  0.937254905701  1

# Bldg 19

0  1  0  328274.501922  4691984.77849  4.92936247587  0.956862747669  0.552941203117  0.937254905701  1
0  1  0  328274.203653  4691982.73336  1.35187643766  0.956862747669  0.552941203117  0.937254905701  1
0  1  0  328273.733355  4691978.62864  1.35187643766  0.956862747669  0.552941203117  0.937254905701  1
0  1  0  328273.561327  4691976.56904  4.92936247587  0.956862747669  0.552941203117  0.937254905701  1
0  1  0  328273.859596  4691978.61417  8.50684851408  0.956862747669  0.552941203117  0.937254905701  1
0  1  0  328274.329894  4691982.71889  8.50684851408  0.956862747669  0.552941203117  0.937254905701  1
0  1  0  328274.501922  4691984.77849  4.92936247587  0.956862747669  0.552941203117  0.937254905701  1

# Bldg 19

0  2  0  328279.058053  4691957.24411  6.83634165923  0.956862747669  0.552941203117  0.937254905701  1
0  2  0  328277.563799  4691960.27405  0.992443362874  0.956862747669  0.552941203117  0.937254905701  1
0  2  0  328274.847996  4691966.45376  0.992443362874  0.956862747669  0.552941203117  0.937254905701  1
0  2  0  328273.626445  4691969.60354  6.83634165923  0.956862747669  0.552941203117  0.937254905701  1
0  2  0  328275.120698  4691966.57361  12.6802399556  0.956862747669  0.552941203117  0.937254905701  1
0  2  0  328277.836502  4691960.39389  12.6802399556  0.956862747669  0.552941203117  0.937254905701  1
0  2  0  328279.058053  4691957.24411  6.83634165923  0.956862747669  0.552941203117  0.937254905701  1

# Bldg 0

0  3  0  328174.32501  4691944.70758  6.68884290968  0.956862747669  0.552941203117  0.937254905701  1
0  3  0  328174.569943  4691946.02236  4.38426079069  0.956862747669  0.552941203117  0.937254905701  1
0  3  0  328174.826681  4691948.6745  4.38426079069  0.956862747669  0.552941203117  0.937254905701  1
0  3  0  328174.838486  4691950.01186  6.68884290968  0.956862747669  0.552941203117  0.937254905701  1
0  3  0  328174.593553  4691948.69707  8.99342502867  0.956862747669  0.552941203117  0.937254905701  1
0  3  0  328174.336815  4691946.04493  8.99342502867  0.956862747669  0.552941203117  0.937254905701  1
0  3  0  328174.32501  4691944.70758  6.68884290968  0.956862747669  0.552941203117  0.937254905701  1

# Bldg 0

0  4  0  328181.972663  4692032.39025  9.05658745766  0.956862747669 0.552941203117  0.937254905701  1
0  4  0  328181.734174  4692029.63297  4.26302266121  0.956862747669  0.552941203117  0.937254905701  1
0  4  0  328181.265417  4692024.11772  4.26302266121  0.956862747669  0.552941203117  0.937254905701  1
0  4  0  328181.035149  4692021.35975  9.05658745766  0.956862747669  0.552941203117  0.937254905701  1
0  4  0  328181.273639  4692024.11703  13.8501522541  0.956862747669  0.552941203117  0.937254905701  1
0  4  0  328181.742396  4692029.63228  13.8501522541  0.956862747669  0.552941203117  0.937254905701  1
