# This interpolated & filtered version of the aircraft's GPS/IMU
# information was generated with a time constant tau=1/video_PRF=0.04166 sec


# Img  Rel time       Rel_x  	 Rel_y	     Rel_z       Roll 	      Pitch        Yaw

  63       2.625    -47557.4    2976.555    2996.117   -0.7923495    3.037606    -161.7461   
  64    2.666667   -47555.78    2971.361    2996.078   -0.7866083    3.037729    -161.7462   
  65    2.708333   -47554.19    2966.233    2996.039   -0.7810544    3.037717    -161.7454   
  66        2.75    -47552.6    2961.103    2995.998   -0.7744011     3.03772    -161.7435   
  67    2.791667   -47551.05    2956.118    2995.955   -0.7677528    3.037719    -161.7416   
  68    2.833333   -47549.56    2951.297    2995.919   -0.7626944    3.037719    -161.7408   
  69       2.875   -47547.99    2946.233    2995.887   -0.7574965     3.03772    -161.7402   
  70    2.916667   -47546.39    2941.071    2995.847   -0.7515281    3.037722    -161.7384   
  71    2.958333    -47544.8    2935.938    2995.792   -0.7460017    3.037716    -161.7361   
  72           3   -47543.21    2930.806    2995.736   -0.740135    3.037733    -161.7339   
  73    3.041667   -47541.76    2926.111    2995.695   -0.7333075    3.037656    -161.7315   
  74    3.083333   -47540.34    2921.546    2995.662   -0.7264805    3.036926    -161.7293   
  75       3.125   -47538.69    2916.222    2995.623   -0.7198331    3.035605    -161.7268   
  76    3.166667   -47536.82    2910.216     2995.58   -0.7135926    3.035057     -161.724   
  77    3.208333   -47535.05    2904.518    2995.539   -0.7079155     3.03492    -161.7212   
  78        3.25    -47533.4    2899.223      2995.5   -0.7036917    3.035001    -161.7188   
  79    3.291667   -47531.85    2894.235    2995.463   -0.7005057    3.034644    -161.7165   
  80    3.333333   -47530.43    2889.676    2995.432   -0.6968542     3.03326    -161.7142   
  81       3.375   -47528.97     2884.97    2995.398   -0.693717    3.032352     -161.712   
  82    3.416667   -47527.37    2879.831     2995.36   -0.6922299    3.032214    -161.7096   
  83    3.458333   -47525.77    2874.688    2995.325   -0.6905436    3.032232    -161.7074   
  84         3.5   -47524.14    2869.458    2995.293   -0.6867875    3.032226    -161.7049   
  85    3.541667   -47522.47    2864.055    2995.255   -0.682937    3.032228    -161.7021   
  86    3.583333   -47520.78    2858.649    2995.212   -0.6798265    3.032228    -161.6992   
  87       3.625   -47519.17    2853.445    2995.172   -0.6751057    3.032227    -161.6974   
  88    3.666667   -47517.56    2848.294    2995.133   -0.6698347    3.032227    -161.6965   
  89    3.708333   -47515.95    2843.109    2995.095   -0.6673137    3.032227    -161.6949   
  90        3.75   -47514.36    2837.994    2995.062   -0.6659235    3.032227    -161.6927   
  91    3.791667   -47512.74    2832.796     2995.03   -0.6627426    3.032227    -161.6915   
  92    3.833333   -47511.14    2827.659    2994.992   -0.6606799    3.032228    -161.6913   
  93       3.875   -47509.51    2822.425    2994.953   -0.6610353    3.032235    -161.6913   
  94    3.916667   -47507.83    2817.019    2994.912   -0.6607418    3.032229    -161.6913   
  95    3.958333   -47506.15    2811.605    2994.864   -0.660355    3.032241    -161.6913   
  96           4   -47504.54    2806.386    2994.812   -0.6624538    3.032774    -161.6913   
  97    4.041667   -47502.95    2801.212    2994.762   -0.6661582    3.034522    -161.6917   
  98    4.083333   -47501.37    2796.129     2994.72   -0.6692374    3.036628    -161.6932   
  99       4.125   -47499.93    2791.505    2994.688   -0.6714849    3.037605    -161.6954   
 100    4.166667   -47498.49    2786.884    2994.655   -0.6739167    3.037729    -161.6966   
 101    4.208333   -47496.91    2781.803    2994.617   -0.6769001    3.037715    -161.6968   
 102        4.25   -47495.26    2776.531    2994.579   -0.6812256    3.037693     -161.697   
 103    4.291667   -47493.58    2771.115    2994.543   -0.6859958    3.037748     -161.698   
 104    4.333333   -47491.91    2765.765    2994.507   -0.6903763    3.038508       -161.7   
 105       4.375   -47490.28    2760.537    2994.469   -0.6943207    3.040469    -161.7023   
 106    4.416667   -47488.67    2755.374     2994.43   -0.6971785    3.042406    -161.7046   
 107    4.458333   -47487.06    2750.242    2994.391   -0.6994335    3.043368    -161.7069   
 108         4.5   -47485.44    2745.037    2994.351   -0.7017928    3.044664    -161.7091   
 109    4.541667   -47483.85    2739.921    2994.313   -0.7040597    3.046847    -161.7115   
 110    4.583333   -47482.23    2734.733    2994.273   -0.7071278    3.048354    -161.7137   
 111       4.625   -47480.58    2729.466    2994.235   -0.7107523    3.048689    -161.7162   
 112    4.666667   -47478.89    2724.045      2994.2   -0.7132409    3.048728    -161.7191   
 113    4.708333   -47477.22    2718.695    2994.164   -0.7147923    3.049499    -161.7226   
 114        4.75   -47475.59    2713.468    2994.125   -0.7168532    3.051992    -161.7264   
 115    4.791667   -47474.03     2708.48    2994.088   -0.7188046    3.055689    -161.7292   
 116    4.833333   -47472.61    2703.918    2994.056   -0.7195597    3.058545    -161.7317   
 117       4.875   -47471.14    2699.207    2994.023   -0.7195021    3.059576    -161.7352   
 118    4.916667   -47469.53    2694.063    2993.984   -0.7185071    3.059751    -161.7387   
 119    4.958333   -47467.93    2688.913    2993.937   -0.7164305    3.060481    -161.7412   
 120           5   -47466.33    2683.759    2993.878   -0.7155318    3.062393    -161.7436   
 121    5.041667   -47464.78    2678.753    2993.826   -0.7170904    3.064261    -161.7465   
 122    5.083333   -47463.28    2673.913    2993.788   -0.7175436    3.065065    -161.7501   
 123       5.125   -47461.62    2668.596    2993.747   -0.7152357    3.065727    -161.7539   
 124    5.166667   -47459.81      2662.8      2993.7   -0.7144598    3.067473    -161.7567   
 125    5.208333   -47458.08    2657.281    2993.656   -0.715449    3.069585    -161.7592   
 126        5.25   -47456.47     2652.13    2993.617   -0.7139951    3.070555    -161.7627   
 127    5.291667   -47454.85    2646.929    2993.578   -0.7117578    3.070741    -161.7662   
 128    5.333333   -47453.24    2641.787    2993.539   -0.7113502    3.071474    -161.7686   
 129       5.375   -47451.63    2636.644    2993.503   -0.7102854    3.073563    -161.7709   
 130    5.416667   -47450.07    2631.645    2993.472   -0.7076658    3.076418    -161.7728   
 131    5.458333   -47448.55    2626.813    2993.443   -0.7061985    3.079248    -161.7743   
 132         5.5   -47446.97    2621.741    2993.407   -0.7047701      3.0811    -161.7764   
 133    5.541667   -47445.35    2616.565    2993.367   -0.7012808    3.082004    -161.7784   
 134    5.583333   -47443.74    2611.423    2993.329   -0.6967443    3.083509    -161.7794   
 135       5.625   -47442.11    2606.221    2993.289   -0.6921391    3.085819    -161.7806   
 136    5.666667    -47440.5    2601.066     2993.25   -0.6876344    3.088037    -161.7828   
 137    5.708333   -47438.77    2595.548    2993.211   -0.6837833    3.090368    -161.7843   
 138        5.75   -47436.97    2589.779    2993.173   -0.6807092    3.092304    -161.7847   
 139    5.791667   -47435.32     2584.52    2993.137   -0.6768842    3.093849    -161.7847   
 140    5.833333   -47433.81    2579.685    2993.101   -0.6721251    3.095891    -161.7847   
 141       5.875   -47432.22    2574.625    2993.063   -0.6674235    3.097592    -161.7842   
 142    5.916667    -47430.6    2569.443    2993.021   -0.6628438    3.098132    -161.7824   
 143    5.958333      -47429    2564.292    2992.973   -0.6584853    3.098149    -161.7803   
 144           6   -47427.39    2559.071    2992.915   -0.6551402    3.098143    -161.7792   
 145    6.041667   -47425.79    2553.934    2992.862   -0.6527503    3.098147    -161.7781   
 146    6.083333   -47424.16    2548.744    2992.825   -0.6496952    3.098153     -161.776   
 147       6.125   -47422.59    2543.734    2992.793   -0.6460331    3.098346    -161.7735   
 148    6.166667   -47421.08    2538.903    2992.756   -0.6436014    3.099322    -161.7706   
 149    6.208333   -47419.49     2533.84    2992.713   -0.6427937     3.10137    -161.7679   
 150        6.25   -47417.88    2528.699    2992.675   -0.6421586     3.10363    -161.7649   
 151    6.291667   -47416.22    2523.377    2992.644   -0.6404121      3.1059    -161.7609   
 152    6.333333    -47414.4    2517.588    2992.609   -0.6383039    3.108247    -161.7563   
 153       6.375   -47412.69    2512.145    2992.571   -0.6373231    3.110443    -161.7517   
 154    6.416667   -47411.46    2508.188    2992.543   -0.6371978    3.112824    -161.7471   
 155    6.458333   -47410.41    2504.855    2992.519   -0.6372109    3.115065    -161.7426   
 156         6.5   -47408.78    2499.653     2992.48   -0.6372143    3.117519    -161.7384   
 157    6.541667    -47406.7    2493.042    2992.429   -0.6372101    3.120357    -161.7349   
 158    6.583333   -47404.78    2486.912    2992.388   -0.6372211      3.1232    -161.7313   
 159       6.625    -47403.1    2481.555    2992.356   -0.637751    3.125589     -161.727   
 160    6.666667   -47401.47    2476.388     2992.32   -0.6394943    3.128234    -161.7224   
 161    6.708333   -47399.84     2471.19    2992.281   -0.6416057     3.13186    -161.7179   
 162        6.75   -47398.24     2466.06    2992.243   -0.6425769    3.135028    -161.7133   
 163    6.791667    -47396.6    2460.846    2992.203   -0.6427611    3.136399    -161.7087   
 164    6.833333   -47394.99    2455.701    2992.164   -0.6434835    3.136613    -161.7041   
 165       6.875   -47393.37     2450.55    2992.128   -0.6453352     3.13679    -161.6997   
 166    6.916667    -47391.8     2445.55    2992.097   -0.6473206    3.137773    -161.6954   
 167    6.958333   -47390.29    2440.705    2992.059   -0.6496261     3.13981    -161.6905   
 168           7   -47388.62    2435.371    2991.997   -0.6536665    3.141538    -161.6864   
 169    7.041667   -47386.81    2429.557    2991.928   -0.6579109    3.142064    -161.6832   
 170    7.083333   -47385.08    2424.024    2991.877   -0.6613221      3.1423    -161.6795   
 171       7.125   -47383.46    2418.861    2991.844   -0.6662333    3.143525    -161.6763   
 172    7.166667   -47381.83    2413.652    2991.811   -0.6727881    3.145721    -161.6739   
 173    7.208333   -47380.21    2408.505    2991.773   -0.6781904    3.147228    -161.6708   
