# Img     DayMonthYear	      Irig time		GPS time

0    271204		191343.079575		191430.068359
1    271204		191343.129578		191430.108337
3    271204		191343.179577		191430.168394
4    271204		191343.229576		191430.208374
5    271204		191343.254578		191430.228394
6    271204		191343.304577		191430.288391
7    271204		191343.354572		191430.328369
8    271204		191343.404575		191430.388367
9    271204		191343.454575		191430.428345
10    271204		191343.504578		191430.488342
12    271204		191343.554577		191430.548340
13    271204		191343.604576		191430.588318
14    271204		191343.629574		191430.608337
15    271204		191343.679573		191430.668333
16    271204		191343.729576		191430.708311
17    271204		191343.779575		191430.768311
18    271204		191343.829575		191430.808350
19    271204		191343.879578		191430.868347
21    271204		191343.929577		191430.908325
22    271204		191343.979580		191430.968323
23    271204		191344.004578		191430.988281
24    271204		191344.054577		191431.028320
25    271204		191344.104580		191431.088318
26    271204		191344.154579		191431.128296
27    271204		191344.204578		191431.188232
28    271204		191344.254578		191431.248228
30    271204		191344.304577		191431.288269
31    271204		191344.354576		191431.348267
32    271204		191344.379578		191431.368225
33    271204		191344.429581		191431.408264
34    271204		191344.479580		191431.468201
35    271204		191344.529579		191431.508240
36    271204		191344.579578		191431.568237
37    271204		191344.629578		191431.608215
39    271204		191344.679577		191431.668213
40    271204		191344.729576		191431.708191
41    271204		191344.754578		191431.728210
42    271204		191344.804581		191431.788208
43    271204		191344.854576		191431.848206
44    271204		191344.904579		191431.888184
45    271204		191344.954578		191431.948181
46    271204		191345.004581		191431.988159
48    271204		191345.054581		191432.048157
49    271204		191345.104576		191432.088196
50    271204		191345.129578		191432.108154
51    271204		191345.179577		191432.168213
52    271204		191345.229580		191432.208252
53    271204		191345.279579		191432.268250
54    271204		191345.329578		191432.308228
55    271204		191345.379581		191432.368225
57    271204		191345.429577		191432.408203
58    271204		191345.479576		191432.468201
59    271204		191345.504581		191432.488220
60    271204		191345.554581		191432.548218
61    271204		191345.604580		191432.588196
62    271204		191345.654579		191432.648193
63    271204		191345.704578		191432.688171
64    271204		191345.754581		191432.748169
66    271204		191345.804581		191432.788208
67    271204		191345.854580		191432.848145
68    271204		191345.879578		191432.868164
69    271204		191345.929581		191432.908142
70    271204		191345.979584		191432.968140
71    271204		191346.029579		191433.008179
72    271204		191346.079582		191433.068176
73    271204		191346.129581		191433.108154
75    271204		191346.179581		191433.148132
76    271204		191346.229580		191433.208130
77    271204		191346.254581		191433.248108
78    271204		191346.304581		191433.288086
79    271204		191346.354580		191433.348083
80    271204		191346.404583		191433.388062
81    271204		191346.454582		191433.428101
82    271204		191346.504581		191433.488098
84    271204		191346.554581		191433.528076
85    271204		191346.604584		191433.588074
86    271204		191346.629581		191433.608093
87    271204		191346.679581		191433.668091
88    271204		191346.729584		191433.708069
89    271204		191346.779579		191433.768066
90    271204		191346.829578		191433.808044
91    271204		191346.879581		191433.868042
93    271204		191346.929581		191433.908020
94    271204		191346.979584		191433.968018
95    271204		191347.004585		191433.988037
96    271204		191347.054581		191434.048035
97    271204		191347.104584		191434.088013
98    271204		191347.154583		191434.148010
99    271204		191347.204582		191434.188049
100    271204		191347.254585		191434.228027
102    271204		191347.304581		191434.288025
103    271204		191347.354580		191434.328064
104    271204		191347.379585		191434.368042
105    271204		191347.429585		191434.408020
106    271204		191347.479580		191434.468018
107    271204		191347.529583		191434.507996
108    271204		191347.579582		191434.567993
109    271204		191347.629585		191434.608032
111    271204		191347.679585		191434.668030
112    271204		191347.729584		191434.708008
113    271204		191347.754585		191434.747986
114    271204		191347.804581		191434.787964
115    271204		191347.854710		191434.847961
116    271204		191347.904709		191434.888000
117    271204		191347.954704		191434.927979
118    271204		191348.004711		191434.987976
120    271204		191348.054710		191435.027954
121    271204		191348.104710		191435.087952
122    271204		191348.129707		191435.107971
123    271204		191348.179710		191435.147888
124    271204		191348.229710		191435.207886
125    271204		191348.279709		191435.267883
126    271204		191348.329708		191435.307861
127    271204		191348.379711		191435.367859
129    271204		191348.429707		191435.407898
130    271204		191348.479706		191435.467896
131    271204		191348.504707		191435.487854
132    271204		191348.554710		191435.527893
133    271204		191348.604710		191435.587891
134    271204		191348.654709		191435.627869
135    271204		191348.704712		191435.687866
136    271204		191348.754707		191435.727844
138    271204		191348.804707		191435.787842
139    271204		191348.854710		191435.847839
140    271204		191348.879711		191435.867859
141    271204		191348.929710		191435.907837
142    271204		191348.979710		191435.967834
143    271204		191349.029709		191436.007812
144    271204		191349.079708		191436.067810
145    271204		191349.129711		191436.107788
147    271204		191349.179710		191436.167847
148    271204		191349.229710		191436.207825
149    271204		191349.254711		191436.227844
150    271204		191349.304710		191436.287842
151    271204		191349.354710		191436.327820
152    271204		191349.404713		191436.387817
153    271204		191349.454712		191436.447815
154    271204		191349.504711		191436.487793
156    271204		191349.554710		191436.487793
157    271204		191349.604710		191436.587769
158    271204		191349.629711		191436.607788
159    271204		191349.679710		191436.667786
160    271204		191349.729710		191436.707764
161    271204		191349.779709		191436.767761
162    271204		191349.829712		191436.807800
163    271204		191349.879711		191436.867798
165    271204		191349.929710		191436.907776
166    271204		191349.979713		191436.967773
167    271204		191350.004715		191436.987732
168    271204		191350.054710		191437.027771
169    271204		191350.104713		191437.087769
170    271204		191350.154713		191437.147705
171    271204		191350.204716		191437.187683
172    271204		191350.254711		191437.247681
174    271204		191350.304714		191437.287720
175    271204		191350.354713		191437.347717
176    271204		191350.379711		191437.367676
177    271204		191350.429714		191437.407715
178    271204		191350.479710		191437.467651
179    271204		191350.529709		191437.507690
180    271204		191350.579838		191437.567688
181    271204		191350.629841		191437.607666
183    271204		191350.679840		191437.667664
184    271204		191350.729839		191437.707642
185    271204		191350.754837		191437.727661
186    271204		191350.804840		191437.787659
187    271204		191350.854839		191437.847656
188    271204		191350.904839		191437.887634
189    271204		191350.954838		191437.947632
190    271204		191351.004845		191437.987610
192    271204		191351.054836		191438.047607
193    271204		191351.104839		191438.087646
194    271204		191351.129841		191438.107605
195    271204		191351.179836		191438.167664
196    271204		191351.229839		191438.207642
197    271204		191351.279961		191438.267639
198    271204		191351.329964		191438.307617
199    271204		191351.379967		191438.367615
201    271204		191351.430092		191438.407593
202    271204		191351.480091		191438.467590
203    271204		191351.505089		191438.487610
204    271204		191351.555088		191438.527588
205    271204		191351.605087		191438.587585
206    271204		191351.655090		191438.647583
207    271204		191351.705215		191438.687561
208    271204		191351.755211		191438.747559
210    271204		191351.805218		191438.787598
211    271204		191351.855213		191438.847595
212    271204		191351.880215		191438.867554
213    271204		191351.930218		191438.907532
214    271204		191351.980339		191438.967529
215    271204		191352.030338		191439.007568
216    271204		191352.080341		191439.067566
217    271204		191352.130341		191439.107544
219    271204		191352.180340		191439.167542
220    271204		191352.230469		191439.207581
221    271204		191352.255466		191439.247559
222    271204		191352.305466		191439.287537
223    271204		191352.355469		191439.347534
224    271204		191352.405468		191439.387573
225    271204		191352.455589		191439.447571
226    271204		191352.505592		191439.487549
228    271204		191352.555717		191439.547546
229    271204		191352.605717		191439.587524
230    271204		191352.630840		191439.607544
231    271204		191352.680840		191439.667542
232    271204		191352.730843		191439.707520
233    271204		191352.780842		191439.767517
234    271204		191352.830841		191439.807495
235    271204		191352.880966		191439.867493
237    271204		191352.930965		191439.907471
238    271204		191352.980965		191439.967468
239    271204		191353.005974		191439.987488
240    271204		191353.055965		191440.047485
241    271204		191353.105968		191440.087463
242    271204		191353.156345		191440.147461
243    271204		191353.206345		191440.187439
244    271204		191353.256470		191440.247437
246    271204		191353.306969		191440.287415
247    271204		191353.331966		191440.307434
248    271204		191353.381969		191440.367432
249    271204		191353.431969		191440.427429
250    271204		191353.482094		191440.467407
251    271204		191353.532219		191440.507385
252    271204		191353.582340		191440.567383
253    271204		191353.632469		191440.607422
255    271204		191353.682590		191440.667419
256    271204		191353.707718		191440.687378
257    271204		191353.757717		191440.747375
258    271204		191353.807842		191440.787354
259    271204		191353.857845		191440.847351
260    271204		191353.907845		191440.887390
261    271204		191353.958096		191440.927368
262    271204		191354.008720		191440.987366
263    271204		191354.058968		191441.027344
265    271204		191354.083965		191441.067322
266    271204		191354.133968		191441.127319
267    271204		191354.184093		191441.167419
268    271204		191354.234222		191441.227417
269    271204		191354.284218		191441.267395
270    271204		191354.334343		191441.327393
271    271204		191354.384472		191441.367371
272    271204		191354.409470		191441.387390
274    271204		191354.459469		191441.447388
275    271204		191354.509598		191441.487366
276    271204		191354.559967		191441.547363
277    271204		191354.610344		191441.587402
278    271204		191354.660721		191441.647400
279    271204		191354.711472		191441.687378
280    271204		191354.761971		191441.727356
281    271204		191354.786972		191441.767334
283    271204		191354.837093		191441.827332
284    271204		191354.887218		191441.867371
285    271204		191354.937222		191441.927368
286    271204		191354.987343		191441.967346
287    271204		191355.037598		191442.027344
288    271204		191355.087723		191442.067322
289    271204		191355.112846		191442.087341
290    271204		191355.163219		191442.147339
