# Img   rel_time   rel_X   rel_Y   rel_Z   roll   pitch   yaw
76    3.150004   -47537.64    2912.843    2995.594   -0.7141113    3.032227    161.7242   
77    3.175006   -47536.09    2907.893    2995.562   -0.7141113     3.03772    161.7242   
78    3.225007   -47534.56    2902.942    2995.531   -0.703125    3.032227    161.7188   
79    3.275005   -47532.25    2895.521    2995.469   -0.703125     3.03772    161.7188   
80    3.325007   -47530.71    2890.571    2995.438   -0.6976318    3.032227    161.7133   
81    3.375007   -47529.17    2885.621    2995.406   -0.6921387    3.032227    161.7133   
82    3.425007   -47526.87     2878.19    2995.344   -0.6921387    3.032227    161.7078   
84    3.475006   -47525.32     2873.24    2995.312   -0.6921387    3.032227    161.7078   
85    3.525007   -47523.01    2865.819    2995.281   -0.6811523    3.032227    161.7023   
86    3.550008   -47522.25    2863.339     2995.25   -0.6811523    3.032227    161.7023   
87    3.600007   -47519.93    2855.918    2995.188   -0.6811523    3.032227    161.6968   
88    3.650007    -47518.4    2850.968    2995.156   -0.670166    3.032227    161.6968   
89    3.700006   -47516.08    2843.537    2995.094   -0.6646729    3.032227    161.6968   
90    3.750005   -47514.54    2838.587    2995.062   -0.670166    3.032227    161.6913   
91    3.800006   -47512.23    2831.166    2995.031   -0.6591797    3.032227    161.6913   
93    3.850006   -47510.69    2826.206    2994.969   -0.6591797    3.032227    161.6913   
94    3.900007   -47508.37    2818.785    2994.938   -0.6646729    3.032227    161.6913   
95    3.925009   -47507.61    2816.305    2994.906   -0.6591797    3.032227    161.6913   
96    3.975006   -47505.29    2808.875    2994.844   -0.6591797    3.032227    161.6913   
97    4.025007   -47503.78    2803.888    2994.781   -0.6646729    3.032227    161.6913   
98    4.075009   -47501.48    2796.458    2994.719   -0.670166     3.03772    161.6913   
99    4.125009   -47499.93    2791.507    2994.688   -0.670166     3.03772    161.6968   
100    4.175009   -47498.39    2786.548    2994.656   -0.6756592     3.03772    161.6968   
102    4.225006   -47496.07    2779.117    2994.594   -0.6756592     3.03772    161.6968   
103    4.275006   -47494.53    2774.167    2994.562   -0.6866455     3.03772    161.6968   
104     4.30001   -47492.98    2769.216    2994.531   -0.6866455     3.03772    161.6968   
105     4.35001   -47491.44    2764.256      2994.5   -0.6921387     3.03772    161.7023   
106    4.400006   -47489.12    2756.826    2994.438   -0.6976318    3.043213    161.7023   
107    4.450008   -47487.57    2751.875    2994.406   -0.6976318    3.043213    161.7078   
108    4.500007   -47485.26    2744.445    2994.344   -0.703125    3.043213    161.7078   
109    4.550009   -47483.71    2739.485    2994.312   -0.703125    3.048706    161.7133   
111    4.600009   -47481.39    2732.054     2994.25   -0.7086182    3.048706    161.7133   
112    4.650008   -47479.85    2727.104    2994.219   -0.7141113    3.048706    161.7188   
113     4.67501    -47478.3    2722.144    2994.188   -0.7141113    3.048706    161.7188   
114    4.725007   -47476.75    2717.184    2994.156   -0.7141113    3.048706    161.7242   
115    4.775134   -47474.43    2709.753    2994.094   -0.7196045    3.054199    161.7297   
116    4.825133   -47472.88    2704.803    2994.062   -0.7196045    3.059692    161.7297   
