# Contour_ID Feature ID	rel_n	rel_a 	rel_z

# Contour 0  (windshield)
23a	77	 3.42893  -41.4423  1.87991
23a	76	 2.93379  -22.2971  2.24208
23a	75 	 2.84802  -22.4785  3.02231
23a	71	 2.82395  -21.616  3.05327

# Contour 23b (green/black/green middle part of missile harness)
23b	71	 2.82395  -21.616  3.05327
23b	72 	 2.69113  -18.1415  3.13458
23b	69	 2.62755  -18.183  4.39526
23b	70	 2.6793  -21.6258  4.30827

# Contour 23c (tan/green middle part of missile harness)
23c	65	 2.13109  -13.9379  3.2763
23c	66 	 2.04323  -14.1041  4.51965
23c	67	 2.08821  -15.7826  4.47021
23c	74 	 2.17534  -15.6213  3.23842

# Contour 23d (green/tan middle part of missile harness)
23d	67	 2.10022  -15.7799  4.47119
23d	68	 2.52306  -17.1004  4.45589
23d	73 	 2.62441  -17.0778  3.18283
23d	74	 2.15641  -15.6261  3.23685

# Contour 23e (all green middle part of missile harness)
23e	68	 2.53991  -17.0954  4.45728
23e	69	 2.62755  -18.183  4.39526
23e	72 	 2.69113  -18.1415  3.13458
23e	73	 2.6065  -17.0826  3.18143

# Contour 24a (front bumper)
24a	82	 4.10175  -0.683395  -1.81477
24a	81	 0.643952  0.271889  -1.8194
24a	80	 0.450579  0.0310819  -0.752396
24a	79 	 3.95976  -0.945971  -0.720341

# Contour 24b (side bumper)
24b	84	 4.00798  -2.124  -1.17429
24b	83	 4.16347  -1.8896  -2.34703
24b	82	 4.10255  -0.678332  -1.81344
24b	79	 3.9576  -0.955903  -0.723021

# Contour 25 (attaching plate for missile arms)
25	85	 2.92186  -24.4531  3.84297
25	86	 2.86862  -22.3413  3.86227
25	87	 2.85869  -21.9294  4.0856
25	88	 2.86503  -22.0916  5.04625
25	89	 2.93297  -24.7898  4.99781

# Contour 26 (front piece of mid-part of missile harness)
26	90	 1.85383  -14.1112  4.86437
26	91	 2.1326  -13.8467  3.28691
26	92	 2.10196  -12.9225  3.28349
26	93	 1.82468  -13.2433  4.8633

# Contour 27 (forward arm attachment to harness)
27	94	 2.55025  -22.271  5.12928
27	95	 2.97343  -22.4769  5.52027
27	96	 2.95139  -22.5245  5.94843
27	97	 3.07567  -22.5904  6.10498
27	98	 3.18265  -22.6115  5.96601
27	99	 3.24949  -22.5689  5.45036
27	100	 2.90757  -22.2661  4.08534
27	101	 2.82094  -22.3658  5.09523

# Contour 28 (lower part of forward missile arm)
28	102	 2.92757  -22.5263  5.92142
28	103	 0.969749  -22.0338  6.41931
28	104	 0.999454  -22.1344  6.77967
28	105	 2.93182  -22.5661  6.07349

# Contour 29 (upper part of forward missile arm)
29	106	 0.867248  -21.9541  6.42149
29	107	 -0.232046  -21.6629  6.81381
29	108	 -0.164386  -21.6883  7.10973
29	109	 0.055714  -21.7492  7.1348
29	110	 0.978006  -21.9928  6.77246

# Contour 30 (rear arm attachment to harness)
30	111	 2.69325  -24.2095  5.12626
30	112	 2.97254  -24.4749  5.47469
30	113	 2.96033  -24.4966  5.89311
30	114	 3.05543  -24.589  6.03912
30	115	 3.14178  -24.6527  5.90753
30	116	 3.11395  -24.5587  4.99422
30	117	 2.89308  -24.293  3.99182
30	118	 2.87174  -24.359  5.08796

# Contour 31 (tail fin pipe)
31	119	 3.644  -43.8121  1.89951
31	120	 2.784  -47.4213  5.52308
31	121	 3.07749  -47.7253  5.48287
31	122	 3.91374  -44.1137  1.87984

# Contour 32 (rear plate)
32	123	 0.193865  -44.2648  5.89196
32	124	 3.2502  -45.0452  5.93521
32	125	 3.77052  -44.3218  4.81297
32	126	 3.39476  -42.0493  1.93653
32	150	 0	0	0

# Contour 33 (bottom vertical segment)
33	127	 4.24363  -43.1653  1.90735
33	128	 4.34482  -43.5848  1.89789
33	129	 4.74832  -42.9727  -3.02644
33	130	 4.62809  -42.4934  -2.9737

# Contour 34 (rear-most pipe structure)
34	131	 1.27694  -47.5006  6.09789
34	132	 2.33057  -47.8417  6.18995
