# t = 232
#     X	        Y         Z          U         V
-46978.900   650.452   -31.050     0.996     0.604
-47013.200   595.279   -29.657     0.953     0.652
-46970.800   568.943   -33.592     0.915     0.619
-47035.600   631.862   -29.266     0.995     0.663
-47009.400   455.116   -28.368     0.819     0.685
-46999.100   437.886   -28.555     0.800     0.681
-47008.700   416.664   -25.375     0.783     0.697
-46997.400   416.541   -21.052     0.779     0.684
-47040.100   395.255   -19.482     0.771     0.732
-47017.000   367.537   -24.733     0.738     0.716
-46977.700   371.779   -21.635     0.731     0.680
-47018.800   196.761   -38.455     0.580     0.762
-46986.500   311.044   -39.394     0.679     0.702
-47027.200   361.000   -19.918     0.737     0.729
-46966.300   532.818   -39.944     0.879     0.624
-46990.600   739.412   -35.269     1.085     0.593
-46995.800   795.402   -30.283     1.142     0.583
-46968.600   825.645   -36.037     1.163     0.548
# -46979.400   961.937   -39.659     1.304     0.520
-47026.100   698.915   -38.467     1.056     0.637
-46949.300   924.894   -40.159     1.255     0.505

