# t = 58
#     X	        Y         Z          U         V
-46978.900   650.452   -31.050     0.031     0.673
-47035.600   631.862   -29.266     0.031     0.732
-46990.600   739.412   -35.269     0.122     0.659
-46995.800   795.402   -30.283     0.177     0.647
-46968.600   825.645   -36.037     0.198     0.612
-46979.400   961.937   -39.659     0.332     0.584
-47026.100   698.915   -38.467     0.096     0.702
-46949.300   924.894   -40.159     0.285     0.568

