# t = 145
#     X	        Y         Z          U         V
-46978.900   650.452   -31.050     0.516     0.684
-47013.200   595.279   -29.657     0.476     0.732
-46970.800   568.943   -33.592     0.438     0.698
-47035.600   631.862   -29.266     0.517     0.742
-47009.400   455.116   -28.368     0.343     0.766
-46999.100   437.886   -28.555     0.325     0.760
-47008.700   416.664   -25.375     0.306     0.775
-46997.400   416.541   -21.052     0.300     0.764
-47040.100   395.255   -19.482     0.294     0.814
-47017.000   367.537   -24.733     0.262     0.799
-46977.700   371.779   -21.635     0.254     0.760
-47018.800   196.761   -38.455     0.100     0.848
-46986.500   311.044   -39.394     0.202     0.785
-47027.200   361.000   -19.918     0.259     0.811
-46966.300   532.818   -39.944     0.405     0.704
-46990.600   739.412   -35.269     0.604     0.672
-46995.800   795.402   -30.283     0.658     0.661
-46968.600   825.645   -36.037     0.677     0.628
-46979.400   961.937   -39.659     0.809     0.598
-47026.100   698.915   -38.467     0.577     0.714
-46949.300   924.894   -40.159     0.763     0.584

