# t = 87
#     X	        Y         Z          U         V
-46978.900   650.452   -31.050     0.198     0.661
-47013.200   595.279   -29.657     0.155     0.709
-46970.800   568.943   -33.592     0.119     0.676
-47035.600   631.862   -29.266     0.197     0.720
-47009.400   455.116   -28.368     0.017     0.745
-46966.300   532.818   -39.944     0.082     0.681
-46990.600   739.412   -35.269     0.286     0.647
-46995.800   795.402   -30.283     0.340     0.637
-46968.600   825.645   -36.037     0.360     0.603
-46979.400   961.937   -39.659     0.492     0.574
-47026.100   698.915   -38.467     0.260     0.690
-46949.300   924.894   -40.159     0.446     0.559

