# t = 203
#     X	        Y         Z          U         V
-46978.900   650.452   -31.050     0.833     0.624
-47013.200   595.279   -29.657     0.793     0.672
-46970.800   568.943   -33.592     0.755     0.638
-47035.600   631.862   -29.266     0.832     0.683
-47009.400   455.116   -28.368     0.658     0.703
-46999.100   437.886   -28.555     0.641     0.700
-47008.700   416.664   -25.375     0.622     0.714
-46997.400   416.541   -21.052     0.619     0.702
-47040.100   395.255   -19.482     0.613     0.751
-47017.000   367.537   -24.733     0.580     0.735
-46977.700   371.779   -21.635     0.571     0.697
-47018.800   196.761   -38.455     0.422     0.781
-46986.500   311.044   -39.394     0.520     0.721
-47027.200   361.000   -19.918     0.577     0.748
-46966.300   532.818   -39.944     0.720     0.643
-46990.600   739.412   -35.269     0.922     0.612
-46995.800   795.402   -30.283     0.978     0.602
-46968.600   825.645   -36.037     0.997     0.567
-46979.400   961.937   -39.659     1.134     0.540
-47026.100   698.915   -38.467     0.895     0.654
-46949.300   924.894   -40.159     1.085     0.525

